id,elevation,ozone,NO2,azimuth,zenith,incidence_azimuth,incidence_zenith,file_name_l1,value_550
46,521,343,0.185,140.1,36,104.1,6.3,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20210403T082601_20210403T083232_T36SVD.tif,0.192
47,521,342,0.186,138.3,34.4,210.9,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20210408T082559_20210408T082838_T36SWD.tif,0.102
48,521,340,0.192,136.6,26.6,105.2,6.3,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20210428T082559_20210428T083346_T36SVD.tif,0.213
49,521,338,0.195,132.5,24.3,105.2,6.3,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20210508T082559_20210508T083200_T36SVD.tif,0.261
50,521,343,0.18,146.3,42.9,105.1,6.2,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20220314T082719_20220314T083940_T36SVD.tif,0.08
51,521,341,0.19,122.4,35.1,211.1,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20220423T082559_20220423T083812_T36SWD.tif,0.173
53,2501,304,0.19,124.2,33.3,190.9,2.8,Albergue_UGR_37-095598_-3-386989_COPERNICUS_S2_20180812T105621_20180812T105840_T30SVG.tif,0.06
54,2501,291,0.191,158,42.6,191.3,2.8,Albergue_UGR_37-095598_-3-386989_COPERNICUS_S2_20181001T105841_20181001T110540_T30SVG.tif,0.084
55,277,256,0.111,40.3,42,103.3,9.2,Alta_Floresta_-9-871339_-56-104453_COPERNICUS_S2_20190711T140059_20190711T140101_T21LWK.tif,0.12
56,277,267,0.109,117.7,27.3,102.6,9.2,Alta_Floresta_-9-871339_-56-104453_COPERNICUS_S2_20201127T140051_20201127T140053_T21LWK.tif,0.115
57,277,266,0.108,119.4,27.6,103.3,9.2,Alta_Floresta_-9-871339_-56-104453_COPERNICUS_S2_20201202T140049_20201202T140051_T21LWK.tif,0.145
58,76,257,0.101,114.5,26,101.7,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20181218T213919_20181218T213922_T02LNK.tif,0.12
59,76,250,0.093,66.2,30.4,101.7,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20190318T213929_20190318T213926_T02LNK.tif,0.018
60,76,250,0.091,47.1,35.6,101.7,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20190417T213939_20190417T213933_T02LNK.tif,0.083
61,76,251,0.1,40.7,47.5,100.8,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20190711T213931_20190711T213932_T02LNK.tif,0.047
62,76,256,0.105,45.3,37,100.8,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20190820T213931_20190820T213930_T02LNK.tif,0.038
63,76,259,0.107,51.7,30.3,100.8,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20190909T213931_20190909T213926_T02LNK.tif,0.087
64,76,262,0.108,66.7,27.1,100.9,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20190929T213931_20190929T213929_T02LNK.tif,0.088
65,76,264,0.109,83.1,24.6,100.9,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20191019T213931_20191019T213930_T02LNK.tif,0.062
66,76,263,0.108,85.9,20.6,101.7,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20191024T213929_20191024T213928_T02LNK.tif,0.049
67,76,250,0.093,64.8,29,100.8,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20200317T213921_20200317T213923_T02LNK.tif,0.039
68,76,250,0.092,57,26.8,101.6,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20200322T213929_20200322T213925_T02LNK.tif,0.063
69,76,250,0.092,49.5,44.5,101.7,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20200501T213929_20200501T213923_T02LNK.tif,0.076
70,76,252,0.102,44.4,47.9,101.6,7.9,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20200720T213929_20200720T213929_T02LNK.tif,0.06
72,76,256,0.105,45.3,37.1,101.7,7.8,American_Samoa_-14-2472_-170-5644_COPERNICUS_S2_20200819T213929_20200819T213931_T02LNK.tif,0.097
73,338,352,0.195,154.6,57.9,101.7,5.4,Ames_42-021361_-93-774778_COPERNICUS_S2_20190216T170401_20190216T170626_T15TVG.tif,0.056
74,338,350,0.196,155.4,59.5,102,5.5,Ames_42-021361_-93-774778_COPERNICUS_S2_20200211T170421_20200211T170703_T15TVG.tif,0.064
76,338,355,0.223,147.3,33.6,101.9,5.3,Ames_42-021361_-93-774778_COPERNICUS_S2_20200421T165851_20200421T170802_T15TVG.tif,0.074
78,338,299,0.183,148.1,36.1,286.4,9.3,Ames_42-021361_-93-774778_COPERNICUS_S2_20200827T170849_20200827T171832_T15TVG.tif,0.276
79,338,302,0.205,164.9,64.8,101.7,5.3,Ames_42-021361_-93-774778_COPERNICUS_S2_20201127T170641_20201127T170642_T15TVG.tif,0.052
81,285,280,0.241,144.5,44.6,127.7,3.4,Amity_Univ_Gurgaon_28-317329_76-916031_COPERNICUS_S2_20190224T052819_20190224T053649_T43RFM.tif,0.221
82,285,261,0.276,162.3,51.2,127.5,3.4,Amity_Univ_Gurgaon_28-317329_76-916031_COPERNICUS_S2_20191126T053151_20191126T053952_T43RFM.tif,1.313
83,285,280,0.241,158,40.4,125.6,3.5,Amity_Univ_Gurgaon_28-317329_76-916031_COPERNICUS_S2_20200224T052811_20200224T053954_T43RFM.tif,0.982
84,285,264,0.263,156,45.8,128.5,3.4,Amity_Univ_Gurgaon_28-317329_76-916031_COPERNICUS_S2_20201031T052951_20201031T053450_T43RFM.tif,0.682
86,285,269,0.28,152.5,54.7,128.4,3.4,Amity_Univ_Gurgaon_28-317329_76-916031_COPERNICUS_S2_20210114T053159_20210114T053158_T43RFM.tif,0.443
88,285,275,0.258,138.5,56.2,129.3,3.4,Amity_Univ_Gurgaon_28-317329_76-916031_COPERNICUS_S2_20210203T053029_20210203T053744_T43RFM.tif,0.427
89,285,279,0.243,146.7,46,128.3,3.4,Amity_Univ_Gurgaon_28-317329_76-916031_COPERNICUS_S2_20210218T052851_20210218T053346_T43RFM.tif,0.697
90,285,284,0.236,140.4,39.8,129.5,3.4,Amity_Univ_Gurgaon_28-317329_76-916031_COPERNICUS_S2_20210310T052651_20210310T054056_T43RFM.tif,0.486
91,285,290,0.242,130.2,29.5,126.3,3.4,Amity_Univ_Gurgaon_28-317329_76-916031_COPERNICUS_S2_20210409T052641_20210409T054038_T43RFM.tif,0.246
92,285,290,0.255,105.4,17.8,129.3,3.4,Amity_Univ_Gurgaon_28-317329_76-916031_COPERNICUS_S2_20210603T052649_20210603T053131_T43RFM.tif,0.48
93,285,287,0.249,101.2,18.6,127,3.4,Amity_Univ_Gurgaon_28-317329_76-916031_COPERNICUS_S2_20210628T052651_20210628T053914_T43RFM.tif,0.764
94,57,344,0.476,167.6,66.9,107.8,8.9,Amsterdam_Ruisdael_52-334336_4-866967_COPERNICUS_S2_20200212T104049_20200212T104614_T31UFU.tif,0.07
96,57,357,0.463,163.5,62.1,106.8,9,Amsterdam_Ruisdael_52-334336_4-866967_COPERNICUS_S2_20200227T104021_20200227T104422_T31UFU.tif,0.124
97,379,385,0.094,181,74.2,300.4,9.4,Andenes_69-278333_16-008611_COPERNICUS_S2_20190308T110909_20190308T110911_T33WWS.tif,0.024
99,47,315,0.429,157,63.3,103,7.9,Anmyon_36-538537_126-330194_COPERNICUS_S2_20181214T022101_20181214T022622_T51SYA.tif,0.122
100,47,332,0.439,160.2,60.7,101.8,5.6,Anmyon_36-538537_126-330194_COPERNICUS_S2_20190113T022041_20190113T022347_T52SBF.tif,0.295
101,47,348,0.356,149.6,47.9,103,7.9,Anmyon_36-538537_126-330194_COPERNICUS_S2_20190304T021601_20190304T021558_T51SYA.tif,0.964
102,47,342,0.293,137.3,20.6,102.9,7.9,Anmyon_36-538537_126-330194_COPERNICUS_S2_20190523T021611_20190523T022214_T51SYA.tif,0.213
103,47,326,0.282,124.1,20.7,103,7.9,Anmyon_36-538537_126-330194_COPERNICUS_S2_20190622T021611_20190622T021607_T51SYA.tif,0.979
104,47,289,0.336,144.1,56,103.8,7.9,Anmyon_36-538537_126-330194_COPERNICUS_S2_20191025T021749_20191025T021745_T51SYA.tif,0.147
105,47,346,0.362,150.6,51.7,103.7,7.9,Anmyon_36-538537_126-330194_COPERNICUS_S2_20200222T021709_20200222T021711_T51SYA.tif,0.368
106,47,352,0.318,143.1,34.9,102.9,7.9,Anmyon_36-538537_126-330194_COPERNICUS_S2_20200407T021601_20200407T021600_T51SYA.tif,0.83
107,47,352,0.303,143.8,28.5,103.4,5.6,Anmyon_36-538537_126-330194_COPERNICUS_S2_20200422T021559_20200422T021557_T52SBF.tif,0.246
108,47,348,0.296,134.7,25.7,101.7,5.5,Anmyon_36-538537_126-330194_COPERNICUS_S2_20200507T021611_20200507T021607_T52SBF.tif,0.131
109,47,291,0.286,141.7,37.4,103.9,7.9,Anmyon_36-538537_126-330194_COPERNICUS_S2_20200909T021609_20200909T022720_T51SYA.tif,0.526
111,47,299,0.386,162.1,59,103,7.9,Anmyon_36-538537_126-330194_COPERNICUS_S2_20201123T022021_20201123T022633_T51SYA.tif,0.145
112,47,331,0.438,158.2,61.3,101.7,5.5,Anmyon_36-538537_126-330194_COPERNICUS_S2_20210112T022051_20210112T022045_T52SBF.tif,0.719
113,47,333,0.434,157.4,60.6,103.9,7.9,Anmyon_36-538537_126-330194_COPERNICUS_S2_20210117T022029_20210117T022027_T51SYA.tif,0.1
115,47,349,0.353,148.4,46.4,103,5.6,Anmyon_36-538537_126-330194_COPERNICUS_S2_20210308T021559_20210308T021602_T52SBF.tif,0.242
116,47,343,0.377,153.4,54.8,101.2,5.5,Anmyon_36-538537_126-330194_COPERNICUS_S2_20220211T021819_20220211T022718_T52SBF.tif,0.451
117,47,350,0.301,138.2,28.4,101.8,5.6,Anmyon_36-538537_126-330194_COPERNICUS_S2_20220427T021611_20220427T022234_T52SBF.tif,0.563
118,47,338,0.294,125.9,22,104,7.9,Anmyon_36-538537_126-330194_COPERNICUS_S2_20220601T021559_20220601T022239_T51SYA.tif,0.11
119,47,333,0.295,127.7,20,103.9,7.8,Anmyon_36-538537_126-330194_COPERNICUS_S2_20220611T021539_20220611T022211_T51SYA.tif,0.357
120,193,302,0.179,127.5,27.2,105.1,6.1,Antikythera_NOA_35-86099_23-30982_COPERNICUS_S2_20180804T090549_20180804T091049_T34SFE.tif,0.159
121,193,326,0.185,123.6,20.6,104.9,6.1,Antikythera_NOA_35-86099_23-30982_COPERNICUS_S2_20190610T090559_20190610T091752_T34SFE.tif,0.115
122,193,326,0.185,123.6,20.6,214.6,3.2,Antikythera_NOA_35-86099_23-30982_COPERNICUS_S2_20190610T090559_20190610T091752_T34SGE.tif,0.115
123,1080,297,0.202,158.9,61.5,234.3,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20190107T161649_20190107T161737_T17SMA.tif,0.049
125,1080,319,0.203,124.9,20.5,235.4,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20190701T160911_20190701T161843_T17SMA.tif,0.148
126,1080,287,0.199,154.3,41.7,235.2,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20190929T161041_20190929T162129_T17SMA.tif,0.19
127,1080,274,0.204,162.7,54.6,236.3,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20191108T161501_20191108T161756_T17SMA.tif,0.049
130,1080,313,0.195,124.5,25.8,235.1,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20200725T160911_20200725T161841_T17SMA.tif,0.079
131,1080,295,0.19,146.9,35.2,234.4,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20200908T160829_20200908T161400_T17SMA.tif,0.136
132,1080,283,0.208,159.6,46.5,236.6,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20201013T161231_20201013T161902_T17SMA.tif,0.047
133,1080,282,0.208,158.2,48.7,234.4,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20201018T161209_20201018T161733_T17SMA.tif,0.048
134,1080,273,0.204,163.4,57.1,234.3,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20201117T161549_20201117T162145_T17SMA.tif,0.029
135,1080,290,0.206,156.9,63.1,234.3,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20201227T161659_20201227T161721_T17SMA.tif,0.027
136,1080,339,0.216,136.9,26.7,235.1,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20210501T160901_20210501T161934_T17SMA.tif,0.04
137,1080,333,0.208,118.4,26,235.8,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20210526T160829_20210526T161738_T17SMA.tif,0.263
138,1080,288,0.199,154.5,41.5,235.7,3.7,Appalachian_State_36-2146_-81-6938_COPERNICUS_S2_20210928T161041_20210928T161248_T17SMA.tif,0.111
139,1280,328,0.155,153.8,56.5,106.5,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180215T105129_20180215T105300_T30TXK.tif,0.018
140,1280,343,0.188,157.5,41.5,105.4,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180322T105021_20180322T105809_T30TXK.tif,0.037
142,1280,344,0.204,117,31.2,286.3,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180529T105619_20180529T110332_T30TXK.tif,0.146
143,1280,326,0.201,130.9,22.8,106.5,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180625T105029_20180625T105253_T30TXK.tif,0.134
144,1280,321,0.2,131.6,23.2,287.2,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180703T105621_20180703T105938_T30TXK.tif,0.09
145,1280,320,0.199,131.9,23.3,106.5,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180705T105029_20180705T105427_T30TXK.tif,0.057
146,1280,318,0.199,132.3,23.6,286.4,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180708T105619_20180708T110215_T30TXK.tif,0.081
147,1280,314,0.198,133.8,24.3,106.4,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180715T105029_20180715T105300_T30TXK.tif,0.251
148,1280,313,0.197,134.5,24.7,286.5,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180718T110039_20180718T110326_T30TXK.tif,0.159
149,1280,309,0.19,140.3,28.6,286.4,8.8,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180807T105619_20180807T105912_T30TXK.tif,0.336
150,1280,307,0.188,142.5,30.3,106.5,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180814T105019_20180814T105021_T30TXK.tif,0.16
152,1280,303,0.187,152.5,32.7,286.3,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180827T110029_20180827T110638_T30TXK.tif,0.099
153,1280,295,0.183,157.5,41.5,287.3,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20180921T105731_20180921T110742_T30TXK.tif,0.08
154,1280,291,0.179,159.1,45.3,287.3,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20181001T105841_20181001T110540_T30TXK.tif,0.025
155,1280,290,0.177,162.4,46.6,286.5,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20181006T110029_20181006T110030_T30TXK.tif,0.075
156,1280,287,0.175,160.7,49.7,106.5,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20181013T105029_20181013T105334_T30TXK.tif,0.036
157,1280,286,0.174,165.7,50,286.5,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20181016T110029_20181016T110523_T30TXK.tif,0.033
158,1280,285,0.17,175.7,53.2,105.3,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20181028T105141_20181028T105138_T30TXK.tif,0.033
159,1280,290,0.155,166.6,62.8,287.2,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20181130T110411_20181130T110431_T30TXK.tif,0.024
160,1280,291,0.154,153.6,66.5,106.5,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20181202T105419_20181202T105516_T30TXK.tif,0.015
162,1280,304,0.141,161.2,65.3,106.5,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20190101T105439_20190101T105645_T30TXK.tif,0.013
163,1280,308,0.139,160.9,64.4,287.2,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20190109T110431_20190109T110434_T30TXK.tif,0.012
164,1280,317,0.144,156.1,62.2,105.4,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20190126T105321_20190126T105420_T30TXK.tif,0.013
165,1280,329,0.159,157.6,54.4,287.2,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20190218T110111_20190218T110840_T30TXK.tif,0.048
166,1280,330,0.161,153,54.9,106.5,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20190220T105059_20190220T105057_T30TXK.tif,0.121
168,1280,337,0.179,154.5,47.2,287.1,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20190310T105851_20190310T110327_T30TXK.tif,0.014
169,1280,342,0.187,134.3,50.4,287.2,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20190320T105741_20190320T110833_T30TXK.tif,0.052
171,1280,359,0.202,140.3,35.8,105.4,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20190416T105031_20190416T105927_T30TXK.tif,0.061
173,1280,324,0.2,131.1,22.9,287.2,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20190628T105621_20190628T110225_T30TXK.tif,0.081
175,1280,313,0.196,135,25,106.5,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20190720T105039_20190720T105755_T30TXK.tif,0.213
176,1280,310,0.192,138.7,27.4,286.5,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20190802T105629_20190802T110731_T30TXK.tif,0.085
177,1280,309,0.191,139.3,27.8,105.3,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20190804T105031_20190804T105722_T30TXK.tif,0.168
178,1280,285,0.165,167.6,58,286.5,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20191110T110159_20191110T110900_T30TXK.tif,0.097
180,1280,328,0.155,153.8,56.6,106.6,6.7,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20200215T105029_20200215T105845_T30TXK.tif,0.028
181,1280,359,0.201,146.6,34.8,287.3,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20200413T105621_20200413T110411_T30TXK.tif,0.124
183,1280,352,0.206,143.7,23.9,286.5,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20200518T105619_20200518T105952_T30TXK.tif,0.027
184,1280,345,0.204,141.3,22.3,286.4,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20200528T105619_20200528T110858_T30TXK.tif,0.07
185,1280,323,0.2,131.2,23,105.3,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20200629T105031_20200629T105217_T30TXK.tif,0.069
186,1280,319,0.199,132.3,23.5,286.5,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20200707T105619_20200707T110855_T30TXK.tif,0.07
187,1280,311,0.193,137.7,26.7,105.3,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20200729T105031_20200729T105032_T30TXK.tif,0.144
189,1280,308,0.19,140.8,28.9,105.3,6.6,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20200808T105031_20200808T105442_T30TXK.tif,0.197
191,1280,301,0.187,148.7,37.3,286.4,8.9,Aras_de_los_Olmos_39-945_-1-1016_COPERNICUS_S2_20200905T105619_20200905T105926_T30TXK.tif,0.029
194,11,347,0.209,138.7,26.3,193.8,2.8,Arcachon_44-663528_-1-163222_COPERNICUS_S2_20190613T105629_20190613T105640_T30TXQ.tif,0.133
196,11,317,0.192,146.3,33.6,194.5,2.8,Arcachon_44-663528_-1-163222_COPERNICUS_S2_20190812T105629_20190812T105854_T30TXQ.tif,0.228
197,11,303,0.196,151.7,41.4,194,2.8,Arcachon_44-663528_-1-163222_COPERNICUS_S2_20190906T105621_20190906T110842_T30TXQ.tif,0.108
200,11,325,0.195,153.5,26.6,193.9,2.8,Arcachon_44-663528_-1-163222_COPERNICUS_S2_20200722T105631_20200722T110027_T30TXQ.tif,0.188
201,11,284,0.19,173.6,63.3,193.2,2.8,Arcachon_44-663528_-1-163222_COPERNICUS_S2_20201114T110319_20201114T110443_T30TXQ.tif,0.068
202,11,338,0.194,157.7,59.2,194.9,2.8,Arcachon_44-663528_-1-163222_COPERNICUS_S2_20210217T110121_20210217T110445_T30TXQ.tif,0.102
203,11,357,0.198,153.9,46,194.1,2.8,Arcachon_44-663528_-1-163222_COPERNICUS_S2_20210324T105639_20210324T105857_T30TXQ.tif,0.06
204,11,336,0.201,149.2,24.2,194.2,2.8,Arcachon_44-663528_-1-163222_COPERNICUS_S2_20210702T105619_20210702T105913_T30TXQ.tif,0.115
